Survived,Pclass,SibSp,Fare,Age_bin,Ticket_freq,16,24,25,27,60
0,1,0,77,9,2,1.0,1.0,0.0,0.0,1.0
1,3,1,11,0,2,0.0,1.0,0.0,0.0,0.0
0,3,0,7,5,1,1.0,1.0,0.0,0.0,1.0
1,3,0,7,3,1,1.0,1.0,0.0,0.0,1.0
1,3,1,22,2,3,0.0,0.0,1.0,1.0,0.0
0,3,0,6,8,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,6,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,3,1,14,8,2,0.0,0.0,1.0,1.0,0.0
1,2,1,26,5,2,0.0,0.0,1.0,1.0,0.0
0,2,0,13,3,1,1.0,1.0,0.0,0.0,1.0
0,2,0,15,3,1,1.0,1.0,0.0,0.0,1.0
1,1,0,26,1,1,0.0,0.0,1.0,1.0,0.0
0,1,1,53,7,2,1.0,1.0,0.0,0.0,1.0
0,3,0,9,0,2,1.0,1.0,0.0,0.0,1.0
0,1,0,79,3,2,1.0,1.0,0.0,0.0,1.0
0,3,0,15,4,3,0.0,0.0,1.0,1.0,0.0
1,3,0,7,2,1,0.0,0.0,1.0,1.0,0.0
1,3,1,15,3,2,0.0,0.0,1.0,1.0,0.0
0,3,0,6,1,1,1.0,1.0,0.0,0.0,1.0
0,2,0,11,1,1,1.0,1.0,0.0,0.0,1.0
0,2,1,36,1,4,1.0,1.0,0.0,0.0,1.0
1,3,0,7,4,1,1.0,1.0,0.0,0.0,1.0
0,3,2,34,0,5,0.0,0.0,1.0,1.0,0.0
0,2,0,26,7,3,1.0,1.0,0.0,0.0,1.0
0,2,0,13,8,1,0.0,1.0,0.0,0.0,0.0
0,2,0,12,9,1,0.0,1.0,0.0,0.0,0.0
1,1,1,66,2,2,0.0,0.0,1.0,1.0,0.0
0,3,0,8,9,1,1.0,1.0,0.0,0.0,1.0
0,3,0,14,7,3,1.0,1.0,0.0,0.0,1.0
0,3,0,7,7,1,1.0,1.0,0.0,0.0,1.0
0,1,0,61,9,2,1.0,1.0,0.0,0.0,1.0
1,3,0,7,0,1,0.0,0.0,1.0,1.0,0.0
0,3,0,8,5,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,3,1,1.0,1.0,0.0,0.0,1.0
0,3,8,69,1,11,0.0,1.0,0.0,0.0,0.0
0,3,0,16,8,2,1.0,1.0,0.0,0.0,1.0
1,2,0,15,7,2,0.0,0.0,1.0,1.0,0.0
0,3,0,7,4,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,1,1,1.0,1.0,0.0,0.0,1.0
0,3,4,39,0,7,0.0,1.0,0.0,0.0,0.0
1,3,0,20,0,3,0.0,1.0,0.0,0.0,0.0
1,1,0,55,4,2,0.0,0.0,1.0,1.0,0.0
0,3,1,27,8,6,0.0,0.0,1.0,1.0,0.0
0,1,0,25,7,1,1.0,1.0,0.0,0.0,1.0
0,3,0,56,4,8,1.0,1.0,0.0,0.0,1.0
0,1,0,33,9,1,1.0,1.0,0.0,0.0,1.0
0,3,4,29,0,6,0.0,1.0,0.0,0.0,0.0
1,3,1,11,0,3,0.0,0.0,1.0,1.0,0.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,1,0,30,9,1,1.0,1.0,0.0,0.0,1.0
0,3,1,7,1,1,1.0,1.0,0.0,0.0,1.0
0,3,3,25,7,5,0.0,1.0,0.0,0.0,0.0
0,1,0,28,9,1,0.0,0.0,1.0,1.0,0.0
0,2,0,13,5,1,1.0,1.0,0.0,0.0,1.0
0,3,0,0,7,4,1.0,1.0,0.0,0.0,1.0
0,3,8,69,6,11,0.0,0.0,1.0,1.0,0.0
0,2,0,15,5,1,1.0,1.0,0.0,0.0,1.0
0,3,4,31,0,7,0.0,1.0,0.0,0.0,0.0
1,2,2,39,0,4,0.0,1.0,0.0,0.0,0.0
1,3,0,22,0,3,0.0,0.0,1.0,1.0,0.0
0,1,0,50,7,1,1.0,1.0,0.0,0.0,1.0
1,3,1,15,8,2,0.0,0.0,1.0,1.0,0.0
1,1,0,26,8,1,1.0,1.0,0.0,0.0,1.0
0,3,1,15,7,2,1.0,1.0,0.0,0.0,1.0
0,3,0,7,7,1,1.0,1.0,0.0,0.0,1.0
1,2,0,13,6,1,0.0,0.0,1.0,1.0,0.0
0,2,0,13,1,1,1.0,1.0,0.0,0.0,1.0
1,3,1,7,1,1,0.0,0.0,1.0,1.0,0.0
1,2,1,26,0,3,0.0,1.0,0.0,0.0,0.0
1,1,0,27,8,1,0.0,0.0,1.0,1.0,0.0
1,1,0,146,9,3,0.0,0.0,1.0,1.0,0.0
0,3,0,7,6,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,8,1,1.0,1.0,0.0,0.0,1.0
1,3,0,7,3,1,0.0,0.0,1.0,1.0,0.0
0,2,0,13,3,1,0.0,0.0,1.0,1.0,0.0
0,3,0,9,4,1,1.0,1.0,0.0,0.0,1.0
0,3,8,69,4,11,1.0,1.0,0.0,0.0,1.0
0,3,0,6,6,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,8,1,1.0,1.0,0.0,0.0,1.0
1,3,0,8,1,1,1.0,1.0,0.0,0.0,1.0
0,3,0,10,0,2,0.0,0.0,1.0,1.0,0.0
0,3,1,15,6,2,1.0,1.0,0.0,0.0,1.0
1,3,0,18,4,2,1.0,1.0,0.0,0.0,1.0
1,3,0,7,0,1,0.0,0.0,1.0,1.0,0.0
1,1,0,31,7,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,3,1,1.0,1.0,0.0,0.0,1.0
1,2,0,21,6,2,0.0,0.0,1.0,1.0,0.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,2,0,13,5,1,1.0,1.0,0.0,0.0,1.0
0,3,1,7,8,1,1.0,1.0,0.0,0.0,1.0
1,1,1,113,5,3,0.0,0.0,1.0,1.0,0.0
1,3,0,7,4,1,0.0,0.0,1.0,1.0,0.0
0,2,1,27,8,2,1.0,1.0,0.0,0.0,1.0
1,1,0,76,6,2,0.0,0.0,1.0,1.0,0.0
0,2,0,10,5,1,1.0,1.0,0.0,0.0,1.0
1,3,0,8,0,1,1.0,1.0,0.0,0.0,1.0
0,2,0,13,4,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,9,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,3,1,1.0,1.0,0.0,0.0,1.0
1,1,1,90,7,2,1.0,1.0,0.0,0.0,1.0
0,3,0,9,2,1,1.0,1.0,0.0,0.0,1.0
1,2,0,10,1,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,2,0,13,1,1,1.0,1.0,0.0,0.0,1.0
0,3,3,25,7,5,0.0,0.0,1.0,1.0,0.0
1,1,1,83,6,2,0.0,0.0,1.0,1.0,0.0
0,3,0,7,5,1,1.0,1.0,0.0,0.0,1.0
0,2,0,13,9,1,1.0,1.0,0.0,0.0,1.0
1,3,4,31,0,7,0.0,0.0,1.0,1.0,0.0
0,2,0,10,3,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,2,1,0.0,0.0,1.0,1.0,0.0
0,2,1,26,8,2,1.0,1.0,0.0,0.0,1.0
1,2,0,26,0,3,0.0,0.0,1.0,1.0,0.0
0,2,0,10,1,1,1.0,1.0,0.0,0.0,1.0
0,2,0,12,6,1,1.0,1.0,0.0,0.0,1.0
0,3,1,14,3,2,0.0,0.0,1.0,1.0,0.0
1,3,1,15,8,2,0.0,0.0,1.0,1.0,0.0
0,2,0,10,5,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,5,1,1.0,1.0,0.0,0.0,1.0
0,1,2,90,8,3,0.0,1.0,0.0,0.0,0.0
0,3,0,7,3,1,0.0,0.0,1.0,1.0,0.0
1,2,0,14,3,2,0.0,0.0,1.0,1.0,0.0
1,1,1,52,7,2,1.0,1.0,0.0,0.0,1.0
0,2,1,26,9,2,0.0,1.0,0.0,0.0,0.0
0,3,0,7,3,1,1.0,1.0,0.0,0.0,1.0
0,3,1,10,5,2,0.0,0.0,1.0,1.0,0.0
0,1,0,26,9,1,1.0,1.0,0.0,0.0,1.0
0,3,1,16,5,2,1.0,1.0,0.0,0.0,1.0
0,3,0,20,8,3,0.0,0.0,1.0,1.0,0.0
1,3,0,15,5,3,0.0,0.0,1.0,1.0,0.0
1,1,0,79,0,2,0.0,0.0,1.0,1.0,0.0
1,1,0,86,5,3,0.0,0.0,1.0,1.0,0.0
1,1,0,512,6,4,0.0,0.0,1.0,1.0,0.0
1,2,0,26,9,2,0.0,0.0,1.0,1.0,0.0
0,3,0,7,6,1,1.0,1.0,0.0,0.0,1.0
1,3,4,31,0,7,0.0,1.0,0.0,0.0,0.0
0,1,1,79,9,3,1.0,1.0,0.0,0.0,1.0
0,1,0,0,7,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,7,1,0.0,0.0,1.0,1.0,0.0
0,2,0,10,7,1,1.0,1.0,0.0,0.0,1.0
0,3,4,39,0,7,1.0,1.0,0.0,0.0,1.0
1,3,1,7,3,1,1.0,1.0,0.0,0.0,1.0
1,1,0,153,9,3,0.0,0.0,1.0,1.0,0.0
1,1,0,135,6,4,0.0,0.0,1.0,1.0,0.0
0,1,0,31,7,2,1.0,1.0,0.0,0.0,1.0
1,3,0,0,3,4,1.0,1.0,0.0,0.0,1.0
1,2,0,19,8,2,0.0,0.0,1.0,1.0,0.0
0,1,0,29,7,1,1.0,1.0,0.0,0.0,1.0
1,3,0,7,7,1,0.0,0.0,1.0,1.0,0.0
1,1,1,77,9,3,0.0,0.0,1.0,1.0,0.0
0,3,0,7,8,1,0.0,0.0,1.0,1.0,0.0
0,2,0,0,3,3,1.0,1.0,0.0,0.0,1.0
0,3,4,29,0,6,0.0,1.0,0.0,0.0,0.0
1,3,1,20,6,3,0.0,0.0,1.0,1.0,0.0
0,3,0,7,9,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,4,1,1.0,1.0,0.0,0.0,1.0
0,3,0,9,0,1,1.0,1.0,0.0,0.0,1.0
1,3,0,8,1,1,1.0,1.0,0.0,0.0,1.0
0,1,0,26,1,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,6,1,1.0,1.0,0.0,0.0,1.0
1,3,0,9,5,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
1,2,0,13,8,1,1.0,1.0,0.0,0.0,1.0
1,3,0,7,2,1,0.0,0.0,1.0,1.0,0.0
1,1,0,78,4,3,0.0,0.0,1.0,1.0,0.0
1,1,1,91,1,2,0.0,0.0,1.0,1.0,0.0
0,2,0,12,7,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,3,1,0.0,0.0,1.0,1.0,0.0
0,3,0,7,3,1,1.0,1.0,0.0,0.0,1.0
0,1,0,27,7,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,3,1,1.0,1.0,0.0,0.0,1.0
0,1,1,151,0,6,0.0,0.0,1.0,1.0,0.0
1,1,0,30,6,1,1.0,1.0,0.0,0.0,1.0
1,1,0,247,9,3,0.0,0.0,1.0,1.0,0.0
1,3,0,7,6,1,0.0,0.0,1.0,1.0,0.0
1,3,2,23,0,3,1.0,1.0,0.0,0.0,1.0
0,3,0,0,1,4,1.0,1.0,0.0,0.0,1.0
1,2,0,12,6,1,0.0,0.0,1.0,1.0,0.0
0,3,0,8,0,1,1.0,1.0,0.0,0.0,1.0
1,1,1,151,0,6,0.0,1.0,0.0,0.0,0.0
1,1,0,110,4,4,0.0,0.0,1.0,1.0,0.0
1,1,1,108,1,3,0.0,0.0,1.0,1.0,0.0
0,2,1,24,5,2,1.0,1.0,0.0,0.0,1.0
1,1,0,56,5,2,0.0,0.0,1.0,1.0,0.0
1,1,0,83,3,3,0.0,0.0,1.0,1.0,0.0
1,1,2,262,1,7,0.0,0.0,1.0,1.0,0.0
0,2,1,26,4,2,0.0,0.0,1.0,1.0,0.0
0,3,0,7,4,1,1.0,1.0,0.0,0.0,1.0
0,2,1,26,8,3,1.0,1.0,0.0,0.0,1.0
1,3,0,7,4,1,0.0,0.0,1.0,1.0,0.0
1,2,1,26,3,2,0.0,0.0,1.0,1.0,0.0
0,2,0,14,9,1,0.0,1.0,0.0,0.0,0.0
1,1,0,164,5,4,0.0,0.0,1.0,1.0,0.0
1,1,1,134,7,5,0.0,0.0,1.0,1.0,0.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,4,1,1.0,1.0,0.0,0.0,1.0
1,2,0,12,5,1,0.0,0.0,1.0,1.0,0.0
1,2,1,29,2,3,0.0,0.0,1.0,1.0,0.0
0,3,8,69,2,11,1.0,1.0,0.0,0.0,1.0
1,1,0,135,7,4,0.0,0.0,1.0,1.0,0.0
0,3,0,6,9,1,1.0,1.0,0.0,0.0,1.0
1,2,0,13,7,1,0.0,0.0,1.0,1.0,0.0
1,3,1,20,5,3,0.0,0.0,1.0,1.0,0.0
1,1,0,57,1,2,0.0,0.0,1.0,1.0,0.0
1,3,2,23,5,3,0.0,0.0,1.0,1.0,0.0
0,1,0,28,8,1,1.0,1.0,0.0,0.0,1.0
0,1,0,153,7,3,1.0,1.0,0.0,0.0,1.0
0,3,2,18,1,2,1.0,1.0,0.0,0.0,1.0
1,1,1,133,4,2,0.0,0.0,1.0,1.0,0.0
0,3,0,7,5,1,1.0,1.0,0.0,0.0,1.0
0,1,1,66,5,2,1.0,1.0,0.0,0.0,1.0
1,1,0,134,8,5,0.0,0.0,1.0,1.0,0.0
1,3,0,8,8,1,1.0,1.0,0.0,0.0,1.0
0,1,0,35,8,1,1.0,1.0,0.0,0.0,1.0
1,2,1,26,0,3,0.0,1.0,0.0,0.0,0.0
1,1,3,263,3,6,0.0,0.0,1.0,1.0,0.0
0,2,0,13,4,1,1.0,1.0,0.0,0.0,1.0
0,2,0,13,3,1,1.0,1.0,0.0,0.0,1.0
0,2,0,13,7,1,1.0,1.0,0.0,0.0,1.0
1,2,0,13,3,1,0.0,0.0,1.0,1.0,0.0
1,2,0,13,7,1,0.0,0.0,1.0,1.0,0.0
1,3,1,16,8,2,0.0,0.0,1.0,1.0,0.0
1,3,1,15,0,3,0.0,1.0,0.0,0.0,0.0
0,3,0,8,8,1,1.0,1.0,0.0,0.0,1.0
0,3,0,9,3,1,1.0,1.0,0.0,0.0,1.0
0,1,0,35,7,1,1.0,1.0,0.0,0.0,1.0
0,3,1,7,0,1,1.0,1.0,0.0,0.0,1.0
0,3,1,17,3,2,1.0,1.0,0.0,0.0,1.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,3,0,9,4,1,1.0,1.0,0.0,0.0,1.0
1,1,0,55,2,2,0.0,0.0,1.0,1.0,0.0
0,2,0,13,7,1,0.0,0.0,1.0,1.0,0.0
1,3,0,7,4,1,0.0,0.0,1.0,1.0,0.0
1,3,0,7,5,1,0.0,0.0,1.0,1.0,0.0
0,3,1,27,7,6,1.0,1.0,0.0,0.0,1.0
0,2,1,27,5,2,1.0,1.0,0.0,0.0,1.0
0,3,0,14,8,2,0.0,0.0,1.0,1.0,0.0
0,3,0,7,6,1,1.0,1.0,0.0,0.0,1.0
0,3,1,15,7,2,1.0,1.0,0.0,0.0,1.0
0,3,0,7,5,1,1.0,1.0,0.0,0.0,1.0
1,1,1,75,9,2,0.0,0.0,1.0,1.0,0.0
1,3,0,7,3,1,0.0,0.0,1.0,1.0,0.0
1,3,0,7,2,1,0.0,0.0,1.0,1.0,0.0
1,1,0,69,3,2,0.0,0.0,1.0,1.0,0.0
1,1,1,55,3,2,1.0,1.0,0.0,0.0,1.0
0,3,1,6,1,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,1,1,1.0,1.0,0.0,0.0,1.0
0,1,0,135,2,4,1.0,1.0,0.0,0.0,1.0
0,3,3,21,0,5,0.0,0.0,1.0,1.0,0.0
1,1,1,82,6,2,0.0,0.0,1.0,1.0,0.0
1,3,0,7,2,1,0.0,0.0,1.0,1.0,0.0
0,1,0,211,4,5,1.0,1.0,0.0,0.0,1.0
0,3,0,4,2,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,1,1,1.0,1.0,0.0,0.0,1.0
1,1,0,227,8,5,0.0,0.0,1.0,1.0,0.0
1,3,0,15,0,3,0.0,0.0,1.0,1.0,0.0
0,3,0,7,6,1,1.0,1.0,0.0,0.0,1.0
1,1,1,52,6,2,0.0,0.0,1.0,1.0,0.0
0,3,0,7,1,1,1.0,1.0,0.0,0.0,1.0
0,2,0,73,1,7,1.0,1.0,0.0,0.0,1.0
0,3,5,46,0,8,0.0,1.0,0.0,0.0,0.0
1,2,0,13,7,1,0.0,0.0,1.0,1.0,0.0
0,3,0,7,5,1,1.0,1.0,0.0,0.0,1.0
1,2,0,12,1,1,0.0,0.0,1.0,1.0,0.0
1,1,1,120,7,4,1.0,1.0,0.0,0.0,1.0
1,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,3,2,7,4,1,1.0,1.0,0.0,0.0,1.0
1,1,1,113,3,3,0.0,0.0,1.0,1.0,0.0
1,3,0,16,3,3,0.0,0.0,1.0,1.0,0.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,5,1,0.0,0.0,1.0,1.0,0.0
0,2,0,26,8,2,1.0,1.0,0.0,0.0,1.0
0,2,0,10,3,1,0.0,1.0,0.0,0.0,0.0
1,2,0,12,4,1,0.0,0.0,1.0,1.0,0.0
1,3,0,7,7,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,4,1,1.0,1.0,0.0,0.0,1.0
0,3,1,9,2,1,0.0,0.0,1.0,1.0,0.0
0,3,1,15,4,2,1.0,1.0,0.0,0.0,1.0
0,3,0,8,2,1,0.0,0.0,1.0,1.0,0.0
0,2,1,21,6,2,1.0,1.0,0.0,0.0,1.0
0,3,0,7,9,1,1.0,1.0,0.0,0.0,1.0
1,2,1,18,0,3,0.0,1.0,0.0,0.0,0.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,3,3,25,7,5,0.0,0.0,1.0,1.0,0.0
0,3,0,7,4,1,1.0,1.0,0.0,0.0,1.0
0,3,0,6,2,1,1.0,1.0,0.0,0.0,1.0
1,1,1,90,6,3,0.0,0.0,1.0,1.0,0.0
0,2,0,0,6,3,1.0,1.0,0.0,0.0,1.0
1,3,0,7,8,1,1.0,1.0,0.0,0.0,1.0
0,3,0,8,1,1,0.0,0.0,1.0,1.0,0.0
1,2,1,32,6,3,0.0,0.0,1.0,1.0,0.0
1,2,0,13,1,1,0.0,0.0,1.0,1.0,0.0
0,2,0,13,5,1,1.0,1.0,0.0,0.0,1.0
0,3,0,24,0,3,0.0,0.0,1.0,1.0,0.0
0,3,0,7,7,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,2,1,1.0,1.0,0.0,0.0,1.0
0,3,0,7,5,1,1.0,1.0,0.0,0.0,1.0
0,3,1,14,4,3,0.0,0.0,1.0,1.0,0.0
0,3,1,20,1,3,1.0,1.0,0.0,0.0,1.0
0,3,0,7,5,1,1.0,1.0,0.0,0.0,1.0
1,2,1,26,4,2,0.0,0.0,1.0,1.0,0.0
1,2,0,26,1,2,0.0,0.0,1.0,1.0,0.0
0,3,0,7,1,1,1.0,1.0,0.0,0.0,1.0
1,3,0,8,6,1,1.0,1.0,0.0,0.0,1.0
1,1,0,26,4,1,1.0,1.0,0.0,0.0,1.0
1,3,1,16,3,2,0.0,0.0,1.0,1.0,0.0
1,2,1,26,8,2,0.0,0.0,1.0,1.0,0.0
0,3,0,7,1,1,1.0,1.0,0.0,0.0,1.0
