Survived,Pclass,SibSp,Parch,Fare,port_sex,Age_bin,Ticket_freq,poly1,poly2,poly3,poly4,poly5,poly6,poly7,poly8,poly9,poly10,poly11,poly13,poly14,poly15,poly16,poly17,poly18,poly19,poly20,poly21,poly22,poly23,poly24,poly25,poly26,poly27,poly28,poly29,poly30,poly32,poly36,poly38,poly39,poly40,poly41,poly42,poly43,poly44,poly45,poly46,poly47,poly48,poly49,poly50,poly51,poly52,poly53,0,1,2,3,4,6,7,13,15,16,17,19,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,41,42,48,50,51,57,59,60,61
1,3,1,1,16,293,0,3,3.0,1.0,1.0,16.0,5.0,293.0,0.0,3.0,121.0,33.0,11.0,176.0,55.0,3223.0,0.0,33.0,9.0,3.0,3.0,48.0,15.0,879.0,0.0,9.0,1.0,1.0,16.0,5.0,293.0,3.0,293.0,3.0,256.0,80.0,4688.0,0.0,48.0,25.0,1465.0,0.0,15.0,85849.0,0.0,879.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0,0,26,293,9,1,1.0,0.0,0.0,26.0,94.0,293.0,9.0,1.0,144.0,12.0,0.0,312.0,1128.0,3516.0,108.0,12.0,1.0,0.0,0.0,26.0,94.0,293.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,2444.0,7618.0,234.0,26.0,8836.0,27542.0,846.0,94.0,85849.0,2637.0,293.0,81.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,3,0,0,8,623,2,1,3.0,0.0,0.0,8.0,1014.0,623.0,2.0,1.0,169.0,39.0,0.0,104.0,13182.0,8099.0,26.0,13.0,9.0,0.0,0.0,24.0,3042.0,1869.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,8112.0,4984.0,16.0,8.0,1028196.0,631722.0,2028.0,1014.0,388129.0,1246.0,623.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0,3,1,5,31,623,7,7,3.0,1.0,5.0,31.0,1014.0,623.0,7.0,7.0,196.0,42.0,14.0,434.0,14196.0,8722.0,98.0,98.0,9.0,3.0,15.0,93.0,3042.0,1869.0,21.0,21.0,1.0,5.0,31.0,1014.0,623.0,7.0,3115.0,35.0,961.0,31434.0,19313.0,217.0,217.0,1028196.0,631722.0,7098.0,7098.0,388129.0,4361.0,4361.0,49.0,49.0,49.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0,3,0,0,7,293,0,1,3.0,0.0,0.0,7.0,1014.0,293.0,0.0,1.0,225.0,45.0,0.0,105.0,15210.0,4395.0,0.0,15.0,9.0,0.0,0.0,21.0,3042.0,879.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7098.0,2051.0,0.0,7.0,1028196.0,297102.0,0.0,1014.0,85849.0,0.0,293.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1,2,0,0,16,293,9,1,2.0,0.0,0.0,16.0,1014.0,293.0,9.0,1.0,256.0,32.0,0.0,256.0,16224.0,4688.0,144.0,16.0,4.0,0.0,0.0,32.0,2028.0,586.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,16224.0,4688.0,144.0,16.0,1028196.0,297102.0,9126.0,1014.0,85849.0,2637.0,293.0,81.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0,3,4,1,29,63,0,6,3.0,4.0,1.0,29.0,1014.0,63.0,0.0,6.0,289.0,51.0,68.0,493.0,17238.0,1071.0,0.0,102.0,9.0,12.0,3.0,87.0,3042.0,189.0,0.0,18.0,16.0,4.0,116.0,4056.0,252.0,24.0,63.0,6.0,841.0,29406.0,1827.0,0.0,174.0,1028196.0,63882.0,0.0,6084.0,3969.0,0.0,378.0,0.0,0.0,36.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,2,0,0,13,623,3,1,2.0,0.0,0.0,13.0,1014.0,623.0,3.0,1.0,324.0,36.0,0.0,234.0,18252.0,11214.0,54.0,18.0,4.0,0.0,0.0,26.0,2028.0,1246.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,13182.0,8099.0,39.0,13.0,1028196.0,631722.0,3042.0,1014.0,388129.0,1869.0,623.0,9.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0,3,1,0,18,293,5,2,3.0,1.0,0.0,18.0,1014.0,293.0,5.0,2.0,361.0,57.0,19.0,342.0,19266.0,5567.0,95.0,38.0,9.0,3.0,0.0,54.0,3042.0,879.0,15.0,6.0,1.0,0.0,18.0,1014.0,293.0,2.0,0.0,0.0,324.0,18252.0,5274.0,90.0,36.0,1028196.0,297102.0,5070.0,2028.0,85849.0,1465.0,586.0,25.0,10.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1,3,0,0,7,113,4,1,3.0,0.0,0.0,7.0,1014.0,113.0,4.0,1.0,400.0,60.0,0.0,140.0,20280.0,2260.0,80.0,20.0,9.0,0.0,0.0,21.0,3042.0,339.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7098.0,791.0,28.0,7.0,1028196.0,114582.0,4056.0,1014.0,12769.0,452.0,113.0,16.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0,2,0,0,26,623,6,2,2.0,0.0,0.0,26.0,1014.0,623.0,6.0,2.0,441.0,42.0,0.0,546.0,21294.0,13083.0,126.0,42.0,4.0,0.0,0.0,52.0,2028.0,1246.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,26364.0,16198.0,156.0,52.0,1028196.0,631722.0,6084.0,2028.0,388129.0,3738.0,1246.0,36.0,12.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1,2,0,0,13,623,6,1,2.0,0.0,0.0,13.0,46.0,623.0,6.0,1.0,484.0,44.0,0.0,286.0,1012.0,13706.0,132.0,22.0,4.0,0.0,0.0,26.0,92.0,1246.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,598.0,8099.0,78.0,13.0,2116.0,28658.0,276.0,46.0,388129.0,3738.0,623.0,36.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,3,0,0,8,60,0,1,3.0,0.0,0.0,8.0,1014.0,60.0,0.0,1.0,529.0,69.0,0.0,184.0,23322.0,1380.0,0.0,23.0,9.0,0.0,0.0,24.0,3042.0,180.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,8112.0,480.0,0.0,8.0,1028196.0,60840.0,0.0,1014.0,3600.0,0.0,60.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1,1,0,0,35,623,4,1,1.0,0.0,0.0,35.0,22.0,623.0,4.0,1.0,576.0,24.0,0.0,840.0,528.0,14952.0,96.0,24.0,1.0,0.0,0.0,35.0,22.0,623.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.0,770.0,21805.0,140.0,35.0,484.0,13706.0,88.0,22.0,388129.0,2492.0,623.0,16.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,3,3,1,21,293,0,5,3.0,3.0,1.0,21.0,1014.0,293.0,0.0,5.0,625.0,75.0,75.0,525.0,25350.0,7325.0,0.0,125.0,9.0,9.0,3.0,63.0,3042.0,879.0,0.0,15.0,9.0,3.0,63.0,3042.0,879.0,15.0,293.0,5.0,441.0,21294.0,6153.0,0.0,105.0,1028196.0,297102.0,0.0,5070.0,85849.0,0.0,1465.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1,3,1,5,31,293,7,7,3.0,1.0,5.0,31.0,1014.0,293.0,7.0,7.0,676.0,78.0,26.0,806.0,26364.0,7618.0,182.0,182.0,9.0,3.0,15.0,93.0,3042.0,879.0,21.0,21.0,1.0,5.0,31.0,1014.0,293.0,7.0,1465.0,35.0,961.0,31434.0,9083.0,217.0,217.0,1028196.0,297102.0,7098.0,7098.0,85849.0,2051.0,2051.0,49.0,49.0,49.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0,3,0,0,7,157,3,1,3.0,0.0,0.0,7.0,1014.0,157.0,3.0,1.0,729.0,81.0,0.0,189.0,27378.0,4239.0,81.0,27.0,9.0,0.0,0.0,21.0,3042.0,471.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7098.0,1099.0,21.0,7.0,1028196.0,159198.0,3042.0,1014.0,24649.0,471.0,157.0,9.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1,3,2,263,623,1,6,1.0,3.0,2.0,263.0,94.0,623.0,1.0,6.0,784.0,28.0,84.0,7364.0,2632.0,17444.0,28.0,168.0,1.0,3.0,2.0,263.0,94.0,623.0,1.0,6.0,9.0,6.0,789.0,282.0,1869.0,18.0,1246.0,12.0,69169.0,24722.0,163849.0,263.0,1578.0,8836.0,58562.0,94.0,564.0,388129.0,623.0,3738.0,1.0,6.0,36.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,3,0,0,7,60,3,1,3.0,0.0,0.0,7.0,1014.0,60.0,3.0,1.0,841.0,87.0,0.0,203.0,29406.0,1740.0,87.0,29.0,9.0,0.0,0.0,21.0,3042.0,180.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7098.0,420.0,21.0,7.0,1028196.0,60840.0,3042.0,1014.0,3600.0,180.0,60.0,9.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,3,0,0,7,623,6,1,3.0,0.0,0.0,7.0,1014.0,623.0,6.0,1.0,900.0,90.0,0.0,210.0,30420.0,18690.0,180.0,30.0,9.0,0.0,0.0,21.0,3042.0,1869.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7098.0,4361.0,42.0,7.0,1028196.0,631722.0,6084.0,1014.0,388129.0,3738.0,623.0,36.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1,0,0,27,157,7,1,1.0,0.0,0.0,27.0,1014.0,157.0,7.0,1.0,961.0,31.0,0.0,837.0,31434.0,4867.0,217.0,31.0,1.0,0.0,0.0,27.0,1014.0,157.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,27378.0,4239.0,189.0,27.0,1028196.0,159198.0,7098.0,1014.0,24649.0,1099.0,157.0,49.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,1,0,146,113,8,3,1.0,1.0,0.0,146.0,65.0,113.0,8.0,3.0,1024.0,32.0,32.0,4672.0,2080.0,3616.0,256.0,96.0,1.0,1.0,0.0,146.0,65.0,113.0,8.0,3.0,1.0,0.0,146.0,65.0,113.0,3.0,0.0,0.0,21316.0,9490.0,16498.0,1168.0,438.0,4225.0,7345.0,520.0,195.0,12769.0,904.0,339.0,64.0,24.0,9.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,3,0,0,7,60,3,1,3.0,0.0,0.0,7.0,1014.0,60.0,3.0,1.0,1089.0,99.0,0.0,231.0,33462.0,1980.0,99.0,33.0,9.0,0.0,0.0,21.0,3042.0,180.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7098.0,420.0,21.0,7.0,1028196.0,60840.0,3042.0,1014.0,3600.0,180.0,60.0,9.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,2,0,0,10,623,9,1,2.0,0.0,0.0,10.0,1014.0,623.0,9.0,1.0,1156.0,68.0,0.0,340.0,34476.0,21182.0,306.0,34.0,4.0,0.0,0.0,20.0,2028.0,1246.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10140.0,6230.0,90.0,10.0,1028196.0,631722.0,9126.0,1014.0,388129.0,5607.0,623.0,81.0,9.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1,1,0,82,157,4,2,1.0,1.0,0.0,82.0,1014.0,157.0,4.0,2.0,1225.0,35.0,35.0,2870.0,35490.0,5495.0,140.0,70.0,1.0,1.0,0.0,82.0,1014.0,157.0,4.0,2.0,1.0,0.0,82.0,1014.0,157.0,2.0,0.0,0.0,6724.0,83148.0,12874.0,328.0,164.0,1028196.0,159198.0,4056.0,2028.0,24649.0,628.0,314.0,16.0,8.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1,1,0,52,623,8,2,1.0,1.0,0.0,52.0,1014.0,623.0,8.0,2.0,1296.0,36.0,36.0,1872.0,36504.0,22428.0,288.0,72.0,1.0,1.0,0.0,52.0,1014.0,623.0,8.0,2.0,1.0,0.0,52.0,1014.0,623.0,2.0,0.0,0.0,2704.0,52728.0,32396.0,416.0,104.0,1028196.0,631722.0,8112.0,2028.0,388129.0,4984.0,1246.0,64.0,16.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
